Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-07-12 Kl. 13-14,0.26194,0.26194,0.26194,0.20955,0.35980
2023-07-12 Kl. 14-15,0.28515,0.28515,0.28515,0.22812,0.35851
2023-07-12 Kl. 15-16,0.39893,0.39893,0.39133,0.24979,0.39893
2023-07-12 Kl. 16-17,0.64295,0.68450,0.46355,0.25001,0.64295
2023-07-12 Kl. 17-18,0.62790,0.93083,0.46069,0.25059,0.62790
2023-07-12 Kl. 18-19,0.71731,0.98771,0.42070,0.25001,0.71731
2023-07-12 Kl. 19-20,0.73150,1.06724,0.40881,0.25162,0.73150
2023-07-12 Kl. 20-21,0.71059,1.17556,0.39950,0.25300,0.71059
2023-07-12 Kl. 21-22,0.70456,1.24535,0.38804,0.25277,0.70456
2023-07-12 Kl. 22-23,0.69811,1.23631,0.38718,0.25219,0.69811
2023-07-12 Kl. 23-00,0.68680,1.23546,0.38531,0.24933,0.68680
2023-07-13 Kl. 00-01,0.58399,1.17479,0.32998,0.23785,0.58399
2023-07-13 Kl. 01-02,0.57590,1.16514,0.34248,0.23922,0.57590
2023-07-13 Kl. 02-03,0.56539,1.08576,0.34958,0.23876,0.56539
2023-07-13 Kl. 03-04,0.55460,1.03210,0.35866,0.23683,0.55460
2023-07-13 Kl. 04-05,0.56724,1.01491,0.36945,0.23661,0.56724
2023-07-13 Kl. 05-06,0.57831,1.09755,0.37484,0.23513,0.57831
2023-07-13 Kl. 06-07,0.58513,1.16485,0.41389,0.23808,0.58513
2023-07-13 Kl. 07-08,0.63028,1.18758,0.45676,0.23865,0.63028
2023-07-13 Kl. 08-09,0.67429,1.10863,0.47239,0.24206,0.67429
2023-07-13 Kl. 09-10,0.68395,1.02216,0.48758,0.24240,0.68395
2023-07-13 Kl. 10-11,0.68708,1.00270,0.49482,0.24365,0.68708
2023-07-13 Kl. 11-12,0.67571,0.97715,0.49298,0.24433,0.67571
2023-07-13 Kl. 12-13,0.70126,0.92191,0.50135,0.24467,0.70126
2023-07-13 Kl. 13-14,0.66024,0.78433,0.50235,0.24444,0.66024
2023-07-13 Kl. 14-15,0.66024,0.67998,0.49269,0.24387,0.66024
2023-07-13 Kl. 15-16,0.66379,0.85475,0.48134,0.24399,0.66379
2023-07-13 Kl. 16-17,0.63993,0.95727,0.47125,0.24467,0.63993
2023-07-13 Kl. 17-18,0.66634,1.01534,0.46401,0.24785,0.66634
2023-07-13 Kl. 18-19,0.68096,1.05850,0.46288,0.24899,0.68096
2023-07-13 Kl. 19-20,0.68181,1.11104,0.45365,0.24967,0.68181
2023-07-13 Kl. 20-21,0.67642,1.17238,0.44271,0.25012,0.67642
2023-07-13 Kl. 21-22,0.67089,1.16713,0.42099,0.24955,0.67089
2023-07-13 Kl. 22-23,0.63780,1.16570,0.38492,0.24808,0.63780
2023-07-13 Kl. 23-00,0.61168,1.16500,0.34119,0.24762,0.61168
2023-07-14 Kl. 00-01,0.53118,1.13495,0.44281,0.23875,0.53118
2023-07-14 Kl. 01-02,0.52063,1.12467,0.42368,0.23628,0.52063
2023-07-14 Kl. 02-03,0.51134,1.09345,0.38174,0.23605,0.51134
2023-07-14 Kl. 03-04,0.51598,1.05574,0.31631,0.23571,0.51598
2023-07-14 Kl. 04-05,0.52738,0.98440,0.29943,0.23616,0.52738
2023-07-14 Kl. 05-06,0.56973,1.00240,0.29267,0.23414,0.56973
2023-07-14 Kl. 06-07,0.61884,1.05588,0.29464,0.23571,0.61884
2023-07-14 Kl. 07-08,0.61756,1.15254,0.30576,0.24461,0.61756
2023-07-14 Kl. 08-09,0.62588,1.15705,0.35079,0.24979,0.62588
2023-07-14 Kl. 09-10,0.62784,1.15874,0.38286,0.25136,0.62784
2023-07-14 Kl. 10-11,0.63206,1.08795,0.38779,0.25159,0.63206
2023-07-14 Kl. 11-12,0.62235,1.04364,0.39201,0.25114,0.62235
2023-07-14 Kl. 12-13,0.63107,1.00831,0.42593,0.24945,0.63107
2023-07-14 Kl. 13-14,0.61673,0.95429,0.46166,0.24911,0.61673
2023-07-14 Kl. 14-15,0.60561,1.02646,0.47855,0.24832,0.60561
2023-07-14 Kl. 15-16,0.59660,1.06488,0.47883,0.24855,0.59660
2023-07-14 Kl. 16-17,0.59815,1.05630,0.48235,0.25001,0.59815
2023-07-14 Kl. 17-18,0.63249,1.04729,0.48488,0.25057,0.63249
2023-07-14 Kl. 18-19,0.63220,1.09710,0.50388,0.25204,0.63220
2023-07-14 Kl. 19-20,0.62545,1.13720,0.51175,0.25294,0.62545
2023-07-14 Kl. 20-21,0.63263,1.16056,0.51161,0.25339,0.63263
2023-07-14 Kl. 21-22,0.61405,1.13776,0.51105,0.25260,0.61405
2023-07-14 Kl. 22-23,0.60181,1.07445,0.49670,0.25204,0.60181
