Tidspunkt,solar_consumption,Verdi,total_consum
2024-02-25,60.60593413934107,526.6,587.2059341393411
2024-02-26,149.35047653410572,760.5,909.8504765341057
2024-02-27,81.06666642893106,790.8,871.866666428931
2024-02-28,134.41811657138163,734.3,868.7181165713816
2024-02-29,9.663522520102548,860.7,870.3635225201026
2024-03-01,17.094691676087674,862.3,879.3946916760876
2024-03-02,21.75055964570494,856.7,878.450559645705
2024-03-04,125.14313447009779,773.7,898.8431344700979
2024-03-05,175.62816241197288,698.3,873.9281624119728
2024-03-06,33.039729561656706,850.0,883.0397295616567
2024-03-07,182.57546714041374,706.3,888.8754671404137
2024-03-08,190.99760240782044,691.9,882.8976024078204
2024-03-09,51.32404318731281,882.6,933.9240431873128
2024-03-10,25.69002589676529,637.5,663.1900258967653
2024-03-11,212.7610103003681,709.2,921.9610103003681
2024-03-12,26.46373703796417,625.2,651.6637370379642
2024-03-15,0.0692087179049846,307.0,307.069208717905
2024-03-16,0.2048725010827174,858.2,858.4048725010828
2024-03-17,0.1954413885250675,518.5,518.6954413885251
2024-03-18,118.33918215148151,767.7,886.0391821514816
2024-03-19,39.9870300386101,880.0,919.9870300386101
2024-03-20,173.44696985930193,737.8,911.2469698593019
2024-03-21,114.89674985036251,783.1,897.9967498503626
2024-03-22,255.64516696427003,634.4,890.04516696427
2024-03-23,101.74990830477333,802.4,904.1499083047734
2024-03-24,175.91539301816374,437.3,613.2153930181637
2024-03-25,102.67724183574313,793.2,895.8772418357432
2024-03-26,72.40451123286036,845.1,917.5045112328604
2024-03-27,41.023113820701845,866.6,907.6231138207019
2024-03-28,78.89774870313705,504.0,582.897748703137
2024-03-29,74.65370074380185,511.6,586.2537007438019
2024-03-30,58.70770614873618,753.6,812.3077061487362
2024-03-31,118.26651156693698,462.5,580.766511566937
2024-04-01,270.08677125535917,380.5,650.5867712553592
2024-04-02,155.1540754688904,751.1999999999999,906.3540754688903
2024-04-03,260.53130887355655,642.5,903.0313088735566
2024-04-04,42.71601039078086,911.3,954.0160103907808
2024-04-05,13.908045314252371,941.8,955.7080453142523
2024-04-06,48.523425320163376,883.9,932.4234253201633
2024-04-07,248.46847477369008,440.4,688.8684747736901
2024-04-08,211.11573185492315,713.1,924.2157318549232
2024-04-09,76.22429698612534,850.3,926.5242969861253
2024-04-10,346.15531915496103,588.0,934.155319154961
2024-04-11,314.4397427649239,609.7,924.139742764924
2024-04-12,228.1046709651126,700.8,928.9046709651126
2024-04-13,302.75832863175293,606.5,909.2583286317529
2024-04-14,354.6075274925679,347.7,702.3075274925679
2024-04-15,379.6033960673957,536.9,916.5033960673957
2024-04-16,348.9453866928817,557.9,906.8453866928817
2024-04-17,232.19204894546408,671.9,904.0920489454641
2024-04-18,303.34965767897666,580.8,884.1496576789766
